col1 = Filename
col2 = Percent correct ID
col3 = Number (out of 20) heard as iy
col4 = Number (out of 20) heard as ih
col5 = Number (out of 20) heard as ei
col6 = Number (out of 20) heard as eh
col7 = Number (out of 20) heard as ae
col8 = Number (out of 20) heard as ah
col9 = Number (out of 20) heard as aw
col10= Number (out of 20) heard as oa
col11= Number (out of 20) heard as oo
col12= Number (out of 20) heard as uw
col13= Number (out of 20) heard as uh
col14= Number (out of 20) heard as er
col15= Signal heard predominately as this vowel

Note: An asterisk to the far right means that the majority vote was
      for a vowel other than that intended by the talker.

Filename    %ID   iy  ih  ei  eh  ae  ah  aw  oa  oo  uw  uh  er Vote
m01ae.w     95.0   0   0   0   1  19   0   0   0   0   0   0   0  ae
m01ah.w     95.0   0   0   0   0   0  19   1   0   0   0   0   0  ah
m01aw.w     95.0   0   0   0   0   0   1  19   0   0   0   0   0  aw
m01eh.w    100.0   0   0   0  20   0   0   0   0   0   0   0   0  eh
m01ei.w    100.0   0   0  20   0   0   0   0   0   0   0   0   0  ei
m01er.w    100.0   0   0   0   0   0   0   0   0   0   0   0  20  er
m01ih.w    100.0   0  20   0   0   0   0   0   0   0   0   0   0  ih
m01iy.w    100.0  20   0   0   0   0   0   0   0   0   0   0   0  iy
m01oa.w    100.0   0   0   0   0   0   0   0  20   0   0   0   0  oa
m01oo.w    100.0   0   0   0   0   0   0   0   0  20   0   0   0  oo
m01uh.w     95.0   0   0   0   0   0   0   0   0   1   0  19   0  uh
m01uw.w    100.0   0   0   0   0   0   0   0   0   0  20   0   0  uw
m02ae.w     95.0   0   0   0   1  19   0   0   0   0   0   0   0  ae
m02ah.w     95.0   0   0   0   0   0  19   1   0   0   0   0   0  ah
m02aw.w     95.0   0   0   0   0   0   1  19   0   0   0   0   0  aw
m02eh.w     95.0   0   0   0  19   1   0   0   0   0   0   0   0  eh
m02ei.w    100.0   0   0  20   0   0   0   0   0   0   0   0   0  ei
m02er.w    100.0   0   0   0   0   0   0   0   0   0   0   0  20  er
m02ih.w    100.0   0  20   0   0   0   0   0   0   0   0   0   0  ih
m02iy.w     95.0  19   0   1   0   0   0   0   0   0   0   0   0  iy
m02oa.w    100.0   0   0   0   0   0   0   0  20   0   0   0   0  oa
m02oo.w    100.0   0   0   0   0   0   0   0   0  20   0   0   0  oo
m02uh.w     65.0   0   0   0   0   0   0   7   0   0   0  13   0  uh
m02uw.w    100.0   0   0   0   0   0   0   0   0   0  20   0   0  uw
m03ae.w     95.0   0   0   0   1  19   0   0   0   0   0   0   0  ae
m03ah.w     70.0   0   0   0   0   0  14   6   0   0   0   0   0  ah
m03aw.w     95.0   0   0   0   0   0   1  19   0   0   0   0   0  aw
m03eh.w     65.0   0   0   0  13   7   0   0   0   0   0   0   0  eh
m03ei.w    100.0   0   0  20   0   0   0   0   0   0   0   0   0  ei
m03er.w    100.0   0   0   0   0   0   0   0   0   0   0   0  20  er
m03ih.w     95.0   0  19   0   1   0   0   0   0   0   0   0   0  ih
m03iy.w    100.0  20   0   0   0   0   0   0   0   0   0   0   0  iy
m03oa.w    100.0   0   0   0   0   0   0   0  20   0   0   0   0  oa
m03oo.w    100.0   0   0   0   0   0   0   0   0  20   0   0   0  oo
m03uh.w     50.0   0   0   0   0   0   4   6   0   0   0  10   0  uh
m03uw.w    100.0   0   0   0   0   0   0   0   0   0  20   0   0  uw
m04ae.w    100.0   0   0   0   0  20   0   0   0   0   0   0   0  ae
m04ah.w     90.0   0   0   0   0   0  18   2   0   0   0   0   0  ah
m04aw.w    100.0   0   0   0   0   0   0  20   0   0   0   0   0  aw
m04eh.w     30.0   0   0   0   6  14   0   0   0   0   0   0   0  ae *
m04ei.w    100.0   0   0  20   0   0   0   0   0   0   0   0   0  ei
m04er.w    100.0   0   0   0   0   0   0   0   0   0   0   0  20  er
m04ih.w    100.0   0  20   0   0   0   0   0   0   0   0   0   0  ih
m04iy.w    100.0  20   0   0   0   0   0   0   0   0   0   0   0  iy
m04oa.w    100.0   0   0   0   0   0   0   0  20   0   0   0   0  oa
m04oo.w     90.0   0   0   0   0   0   0   0   0  18   2   0   0  oo
m04uh.w     50.0   0   0   0   0   0   4   6   0   0   0  10   0  uh
m04uw.w    100.0   0   0   0   0   0   0   0   0   0  20   0   0  uw
m06ae.w    100.0   0   0   0   0  20   0   0   0   0   0   0   0  ae
m06ah.w    100.0   0   0   0   0   0  20   0   0   0   0   0   0  ah
m06aw.w     85.0   0   0   0   0   0   3  17   0   0   0   0   0  aw
m06eh.w    100.0   0   0   0  20   0   0   0   0   0   0   0   0  eh
m06ei.w    100.0   0   0  20   0   0   0   0   0   0   0   0   0  ei
m06er.w    100.0   0   0   0   0   0   0   0   0   0   0   0  20  er
m06ih.w     95.0   0  19   0   0   0   0   0   1   0   0   0   0  ih
m06iy.w    100.0  20   0   0   0   0   0   0   0   0   0   0   0  iy
m06oa.w    100.0   0   0   0   0   0   0   0  20   0   0   0   0  oa
m06oo.w    100.0   0   0   0   0   0   0   0   0  20   0   0   0  oo
m06uh.w     95.0   0   0   0   0   0   0   0   0   1   0  19   0  uh
m06uw.w    100.0   0   0   0   0   0   0   0   0   0  20   0   0  uw
m07ae.w    100.0   0   0   0   0  20   0   0   0   0   0   0   0  ae
m07ah.w    100.0   0   0   0   0   0  20   0   0   0   0   0   0  ah
m07aw.w     90.0   0   0   0   0   0   2  18   0   0   0   0   0  aw
m07eh.w    100.0   0   0   0  20   0   0   0   0   0   0   0   0  eh
m07ei.w    100.0   0   0  20   0   0   0   0   0   0   0   0   0  ei
m07er.w    100.0   0   0   0   0   0   0   0   0   0   0   0  20  er
