  Start = Start of vowel nucleus
    End = End of vowel nucleus
Center1 = Steady-state time from judge 1
Center2 = Steady-state time from judge 2

File   Start    End   Center1  Center2
m01ae  177.3   500.4   304.0    297.0
m02ae  132.0   382.0   198.0    240.0
m03ae  118.0   462.0   162.0    181.0
m04ae   96.0   408.0   130.0    169.0
m06ae   71.0   325.0   113.0    134.0
m07ae   70.0   324.0   140.0    138.0
m08ae   95.0   384.0   128.0    141.0
m09ae  107.0   446.0   166.0    206.0
m10ae   90.0   372.0   132.0    155.0
m11ae  123.0   442.0   180.0    173.0
m13ae   90.0   369.0   179.0    160.0
m14ae   65.0   337.0   144.0    137.0
m16ae   70.0   282.0   120.0    159.0
m17ae  101.0   358.0   164.0    168.0
m18ae   83.0   347.0   134.0    128.0
m19ae  133.0   377.0   192.0    163.0
m20ae   92.0   378.0   152.0    168.0
m21ae  102.0   354.0   170.0    176.0
m22ae  173.0   422.0   222.0    240.0
m23ae  135.0   409.0   193.0    216.0
m24ae   83.0   353.0   110.0    117.0
m25ae  101.0   402.0   214.0    222.0
m26ae   70.0   329.0   152.0    139.0
m27ae  101.0   358.0   162.0    163.0
m28ae  122.0   334.0   147.0    177.0
m29ae   96.0   337.0   175.0    184.0
m30ae  105.0   407.0   181.0    158.0
m31ae  121.0   329.0   135.0    157.0
m32ae   71.0   279.0   102.0     98.0
m33ae   70.0   398.0   149.0    109.0
m34ae   93.0   360.0   141.0    120.0
m35ae   96.0   422.0   168.0    137.0
m36ae  102.0   372.0   138.0    163.0
m37ae   73.0   280.0   121.0     94.0
m38ae   72.0   285.0    95.0    105.0
m39ae   76.0   387.0   106.0    130.0
m40ae   80.0   353.0   129.0    164.0
m41ae   78.0   308.0   128.0    144.0
m42ae  189.0   523.0   243.0    268.0
m44ae  166.0   442.0   199.0    216.0
m45ae  105.0   388.0   192.0    186.0
m47ae   84.0   376.0   125.0    137.0
m48ae   75.0   320.0    92.0    131.0
m49ae  106.0   372.0   166.0    160.0
m50ae  111.0   400.0   137.0    160.0
w01ae   75.0   380.0   128.0    176.0
w02ae  114.0   600.0   170.0    176.0
w03ae   93.0   386.0   121.0    136.0
w04ae   75.0   428.0   102.0    122.0
w05ae  143.0   481.0   192.0    200.0
w06ae   94.0   456.0   136.0    168.0
w07ae  161.0   474.0   248.0    256.0
w08ae   80.0   364.0   120.0    128.0
w09ae   85.0   338.0   170.0    162.0
w10ae   61.0   417.0   114.0    144.0
w11ae   71.0   456.0   216.0    240.0
w12ae  101.0   456.0   128.0    160.0
w13ae   82.0   397.0   127.0    139.0
w14ae   76.0   348.0   144.0    160.0
w15ae  116.0   516.0   216.0    224.0
w16ae  164.0   520.0   192.0    208.0
w17ae  116.0   439.0   248.0    222.0
w19ae  149.0   512.0   248.0    264.0
w20ae  199.0   506.0   272.0    288.0
w21ae  145.0   527.0   220.0    201.0
w22ae  101.0   439.0   145.0    160.0
w23ae  149.0   514.0   176.0    228.0
w24ae   85.0   416.0   176.0    192.0
w25ae  164.0   625.0   240.0    256.0
w26ae  170.0   516.0   364.0    304.0
w27ae  110.0   382.0   160.0    151.0
w28ae   80.0   340.0   124.0    123.0
w29ae  114.0   447.0   190.0    208.0
w30ae   98.0   408.0   145.0    155.0
w31ae   99.0   463.0   128.0    144.0
w32ae   72.0   311.0   104.0    112.0
w33ae  102.0   363.0   129.0    141.0
w34ae  125.0   402.0   140.0    147.0
w35ae  126.0   454.0   151.0    161.0
w36ae  141.0   554.0   218.0    218.0
w37ae  143.0   548.0   260.0    274.0
w38ae  103.0   397.0   152.0    162.0
w39ae  166.0   531.0   222.0    243.0
w40ae  142.0   443.0   176.0    185.0
w41ae  109.0   410.0   128.0    152.0
w42ae  112.0   424.0   128.0    173.0
w44ae  122.0   475.0   164.0    174.0
w45ae  127.0   460.0   161.0    187.0
w46ae  120.0   485.0   144.0    164.0
w47ae  113.0   440.0   192.0    208.0
w48ae   64.0   374.0    94.0    107.0
w49ae   84.0   403.0   136.0    160.0
w50ae   91.0   448.0   167.0    176.0
b01ae   72.0   329.0   116.0    115.0
b02ae  110.0   469.0   280.0    243.0
b03ae  106.0   441.0   136.0    146.0
b04ae  141.0   539.0   224.0    249.0
b05ae   94.0   361.0   132.0    157.0
b07ae  115.0   438.0   143.0    168.0
b08ae  161.0   477.0   280.0    296.0
b09ae  135.0   380.0   184.0    189.0
b10ae  158.0   554.0   272.0    304.0
b11ae  103.0   401.0   139.0    162.0
b12ae  116.0   531.0   220.0    239.0
b13ae  112.0   393.0   144.0    151.0
b14ae  114.0   428.0   210.0    191.0
b15ae  116.0   498.0   153.0    178.0
b16ae   86.0   453.0   151.0    168.0
b17ae  106.0   458.0   145.0    192.0
b18ae   94.0   401.0   136.0    154.0
b19ae   74.0   386.0   112.0    128.0
b21ae  106.0   458.0   151.0    176.0
b22ae  150.0   406.0   216.0    240.0
b23ae  154.0   500.0   188.0    192.0
b24ae  120.0   336.0   172.0    160.0
b25ae  191.0   475.0   222.0    224.6
b26ae  103.0   554.0   167.0    149.8
b27ae   89.0   332.0   104.0    105.6
b28ae  131.0   415.0   167.0    160.3
b29ae  127.0   418.0   200.0    169.0
g01ae  114.0   409.0   157.0    176.0
